score_d,comment_d,score_a,comment_a,channel,num_segments,dataset_name,dataset_id,station_id,outlier,label,median_score_clf_[0],median_score_clf_[1],median_score_clf_[2],median_score_clf_[3],median_score_clf_[4],median_score_clf_[5],median_score_clf_[6],median_score_clf_[7]
,,,,IU.PTGA.00.BH?,53,me,2,2655,False,unlabeled (Me unknown),0.4800708691,,,,,,,
,,,,IU.ADK.10.BH?,142,me,2,2575,False,ok,0.479785122545,,,,,,,
,,,,GG.SE1.00.BH?,470,me,2,2416,False,unlabeled (Me unknown),0.479776316175,,,,,,,
,,,,II.CMLA.10.BH?,101,me,2,2467,False,unlabeled (Me unknown),0.479776316175,,,,,,,
,,,,DK.SOEG..BH?,162,me,2,2363,False,unlabeled (Me unknown),0.479599202076,,,,,,,
,,,,DK.ISOG..BH?,1896,me,2,740,False,unlabeled (Me unknown),0.479127535051,,,,,,,
,,,,AU.LHI..BH?,1800,me,2,1605,False,unlabeled (Me unknown),0.479127535051,,,,,,,
,,,,PN.PPPCH..BH?,231,me,2,3105,False,unlabeled (Me unknown),0.479127535051,,,,,,,
,,,,S1.AUHPC..BH?,1524,me,2,3229,False,unlabeled (Me unknown),0.479127535051,,,,,,,
,,,,G.CRZF.00.BH?,174,me,2,1303,False,ok,0.478784430436,,,,,,,
,,,,IU.PMSA.10.BH?,101,me,2,2652,False,ok,0.478784430436,,,,,,,
,,,,GB.WLF1..BH?,3179,me,2,520,False,unlabeled (Me unknown),0.478701745137,,,,,,,
,,,,PN.PPCAR..BH?,2,me,2,3065,False,unlabeled (Me unknown),0.478701745137,0.477430190815,,,,,,
,,,,KO.CTYL..HH?,142,s2s_2019_03,1,5557,False,ok,0.478484999287,,,,,,,
,,,,IV.ROVR..HH?,80,s2s_2019_03,1,4867,False,ok,0.477263215784,,,,,,,
,,,,NU.MATN..BH?,717,me,2,2989,False,unlabeled (Me unknown),0.477263215784,,,,,,,
,,,,MI.DPS..BH?,1886,me,2,2869,False,unlabeled (Me unknown),0.477192761265,,,,,,,
,,,,MI.GOLF..BH?,1615,me,2,2871,False,unlabeled (Me unknown),0.476992845515,,,,,,,
,,,,C.GO07..BH?,1038,me,2,1898,False,unlabeled (Me unknown),0.476685215352,,,,,,,
,,,,KS.SEO2..BH?,1285,me,2,2768,False,unlabeled (Me unknown),0.476334063087,,,,,,,
,,,,HL.SMG..HH?,89,s2s_2019_03,1,3738,False,ok,0.47627749666,,,,,,,
,,,,KO.KAVV..HH?,166,s2s_2019_03,1,5625,False,ok,0.47627749666,,,,,,,
,,,,IV.INTR..BH?,41,me,2,100,False,unlabeled (Me unknown),0.476243796483,,,,,,,
,,,,AV.OKNC..BH?,1093,me,2,1747,False,unlabeled (Me unknown),0.476009058805,,,,,,,
