gfz2016ayaj|2016-01-14T03:25:33|42.02|142.70|48|||||Mw|6.6|geofon|
gfz2016atny|2016-01-11T16:38:10|3.87|126.88|17|||||Mw|6.5|geofon|
gfz2016afks|2016-01-03T23:05:21|24.77|93.59|48|||||Mw|6.7|geofon|
gfz2015ybqo|2015-12-09T10:21:46|-4.18|129.42|16|||||Mw|6.8|geofon|
gfz2015xxuo|2015-12-07T07:50:04|38.13|72.94|11|||||Mw|7.2|geofon|
gfz2015xtkx|2015-12-04T22:24:55|-47.67|85.22|23|||||Mw|7.0|geofon|
gfz2015wpxd|2015-11-18T18:31:05|-8.97|158.39|20|||||Mw|6.8|geofon|
gfz2015wgyg|2015-11-13T20:51:34|30.95|128.86|10|||||Mw|6.7|geofon|
gfz2015wbxl|2015-11-11T02:46:21|-29.45|-71.89|10|||||Mw|6.7|geofon|
gfz2015wbvt|2015-11-11T01:54:39|-29.44|-71.71|10|||||Mw|6.8|geofon|
gfz2015vxmr|2015-11-08T16:47:02|6.79|94.50|15|||||Mw|6.5|geofon|
gfz2015vuyw|2015-11-07T07:31:43|-30.88|-71.28|45|||||Mw|6.7|geofon|
gfz2015vpev|2015-11-04T03:44:16|-8.23|124.92|17|||||Mw|6.5|geofon|
gfz2015stfg|2015-09-24T15:53:30|-0.55|131.24|17|||||Mw|6.6|geofon|
gfz2015snwh|2015-09-21T17:40:00|-31.74|-71.38|35|||||Mw|6.5|geofon|
gfz2015sfno|2015-09-17T04:10:31|-31.46|-71.58|34|||||Mw|6.7|geofon|
gfz2015sfnb|2015-09-17T03:55:17|-31.33|-71.45|41|||||Mw|6.5|geofon|
gfz2015sfdy|2015-09-16T23:18:41|-31.52|-71.44|32|||||Mw|7.0|geofon|
gfz2015sfdd|2015-09-16T22:54:33|-31.55|-71.55|23|||||Mw|8.2|geofon|
gfz2015rynp|2015-09-13T08:14:12|25.03|-109.47|18|||||Mw|6.6|geofon|
gfz2015pswl|2015-08-12T18:49:24|-9.32|157.80|12|||||Mw|6.5|geofon|
gfz2015pocm|2015-08-10T04:12:14|-9.30|157.94|14|||||Mw|6.6|geofon|
gfz2015opwb|2015-07-27T21:41:20|-2.64|138.56|39|||||Mw|6.9|geofon|
gfz2015ooos|2015-07-27T04:49:45|52.31|-169.57|21|||||Mw|6.9|geofon|
gfz2015nxym|2015-07-18T02:27:34|-10.38|165.03|13|||||Mw|6.9|geofon|
gfz2015nvgv|2015-07-16T15:16:33|13.83|-58.62|16|||||Mw|6.5|geofon|
gfz2015njlx|2015-07-10T04:12:42|-9.34|158.26|12|||||Mw|6.7|geofon|
gfz2015lucg|2015-06-17T12:51:31|-35.38|-17.73|14|||||Mw|6.9|geofon|
gfz2015kkyi|2015-05-29T07:00:08|56.71|-156.75|63|||||Mw|6.8|geofon|
gfz2015jzlk|2015-05-22T23:59:34|-11.12|163.04|12|||||Mw|6.8|geofon|
gfz2015jzha|2015-05-22T21:45:18|-11.06|163.39|14|||||Mw|6.9|geofon|
gfz2015jvsc|2015-05-20T22:48:54|-10.86|164.03|15|||||Mw|6.8|geofon|
gfz2015jthy|2015-05-19T15:25:22|-54.49|-132.10|18|||||Mw|6.7|geofon|
gfz2015jgyx|2015-05-12T21:12:59|38.92|141.98|48|||||Mw|6.8|geofon|
gfz2015jfwy|2015-05-12T07:05:19|27.81|86.11|15|||||Mw|7.2|geofon|
gfz2015iwtp|2015-05-07T07:10:21|-7.22|154.49|18|||||Mw|7.0|geofon|
gfz2015isrv|2015-05-05T01:44:05|-5.50|151.85|37|||||Mw|7.4|geofon|
gfz2015ilwk|2015-05-01T08:06:08|-5.26|151.72|53|||||Mw|6.7|geofon|
gfz2015ikgd|2015-04-30T10:45:05|-5.33|151.64|40|||||Mw|6.6|geofon|
gfz2015icra|2015-04-26T07:09:10|27.76|86.01|16|||||Mw|6.7|geofon|
gfz2015iaus|2015-04-25T06:45:23|28.28|84.83|20|||||Mw|6.7|geofon|
gfz2015iatp|2015-04-25T06:11:26|28.18|84.72|18|||||Mw|7.8|geofon|
gfz2015hmwt|2015-04-17T15:52:54|-16.05|-178.51|18|||||Mw|6.5|geofon|
gfz2015gfls|2015-03-30T08:48:26|-15.45|-173.16|12|||||Mw|6.5|geofon|
gfz2015getx|2015-03-29T23:48:30|-4.70|152.50|34|||||Mw|7.4|geofon|
gfz2015dhuw|2015-02-16T23:06:28|39.85|142.92|24|||||Mw|6.7|geofon|
gfz2015dcaf|2015-02-13T18:59:13|52.71|-31.93|20|||||Mw|7.0|geofon|
gfz2014xzse|2014-12-08T08:54:52|8.09|-82.61|20|||||Mw|6.5|geofon|
gfz2014xxht|2014-12-07T01:22:01|-6.48|154.42|25|||||Mw|6.5|geofon|
gfz2014xefi|2014-11-26T14:33:45|1.99|126.52|38|||||Mw|6.7|geofon|
gfz2014wutd|2014-11-21T10:10:18|2.40|127.09|32|||||Mw|6.5|geofon|
gfz2014wmod|2014-11-16T22:33:21|-37.58|179.49|25|||||Mw|6.7|geofon|
gfz2014wjez|2014-11-15T02:31:38|1.92|126.79|39|||||Mw|7.0|geofon|
gfz2014vura|2014-11-07T03:33:57|-6.04|148.19|41|||||Mw|6.6|geofon|
gfz2014ucvn|2014-10-14T03:51:39|12.71|-87.92|43|||||Mw|7.2|geofon|
gfz2014ttpl|2014-10-09T02:32:07|-32.24|-110.94|17|||||Mw|6.6|geofon|
gfz2014ttow|2014-10-09T02:14:32|-32.17|-110.85|10|||||Mw|7.0|geofon|
gfz2014pbak|2014-08-03T00:22:04|0.85|146.13|23|||||Mw|6.7|geofon|
gfz2014nmlk|2014-07-11T19:22:00|37.12|142.36|17|||||Mw|6.5|geofon|
gfz2014nenq|2014-07-07T11:23:57|14.92|-92.23|65|||||Mw|6.9|geofon|
gfz2014mqjf|2014-06-29T17:15:11|-15.01|-175.48|20|||||Mw|6.7|geofon|
gfz2014mqgm|2014-06-29T15:52:26|-14.76|-175.51|29|||||Mw|6.5|geofon|
gfz2014mpqq|2014-06-29T07:52:57|-55.57|-28.57|20|||||Mw|6.8|geofon|
gfz2014mfpv|2014-06-23T20:06:24|-29.99|-177.76|40|||||Mw|6.6|geofon|
gfz2014mfoh|2014-06-23T19:19:20|-30.09|-177.76|26|||||Mw|6.9|geofon|
gfz2014lomq|2014-06-14T11:11:01|-10.00|90.94|13|||||Mw|6.5|geofon|
gfz2014kbzl|2014-05-24T09:25:03|40.28|25.38|20|||||Mw|6.8|geofon|
gfz2014jhrl|2014-05-13T06:35:23|7.23|-82.31|13|||||Mw|6.5|geofon|
gfz2014hysd|2014-04-24T03:10:14|49.68|-127.48|18|||||Mw|6.5|geofon|
gfz2014hqiz|2014-04-19T13:27:58|-6.61|154.88|35|||||Mw|7.4|geofon|
gfz2014hpkl|2014-04-19T01:04:02|-6.72|155.06|39|||||Mw|6.6|geofon|
gfz2014hope|2014-04-18T14:27:26|17.49|-100.90|27|||||Mw|7.2|geofon|
gfz2014hiid|2014-04-15T03:57:03|-53.66|8.81|18|||||Mw|6.8|geofon|
